X,Y,OBJECTID,LocationID,Name,Historic_Name,Status,City,County,State,Description,Latitude,Longitude,Lat_WGS84,Long_WGS84,Block_Group
-109.0550,35.3589,1,AZ001,Lupton Route 66 Crossing,,Active,Lupton,Apache,AZ,Eastern entry point of Route 66 into Arizona,35.3589,-109.0550,35.3589,-109.0550,
-109.7869,35.0650,2,AZ002,Painted Desert Inn,,Active,Petrified Forest,Navajo,AZ,CCC-built inn serving Route 66 travelers,35.0650,-109.7869,35.0650,-109.7869,
-109.7869,35.0650,3,AZ003,Petrified Forest Route 66 Segment,,Active,Petrified Forest,Navajo,AZ,Original Route 66 alignment inside national park,35.0650,-109.7869,35.0650,-109.7869,
-110.1580,34.9014,4,AZ004,Wigwam Motel,,Active,Holbrook,Navajo,AZ,Iconic teepee motel tied to Route 66 travel culture,34.9014,-110.1580,34.9014,-110.1580,
-110.1580,34.9020,5,AZ005,Holbrook Historic District,,Active,Holbrook,Navajo,AZ,Historic railroad and Route 66 town,34.9020,-110.1580,34.9020,-110.1580,
-110.3090,34.9545,6,AZ006,Jack Rabbit Trading Post,,Active,Joseph City,Navajo,AZ,Famous Route 66 trading post with billboard history,34.9545,-110.3090,34.9545,-110.3090,
-110.1042,35.0245,7,AZ007,Geronimo Trading Post,,Active,Joseph City,Navajo,AZ,Historic Route 66 roadside trading post,35.0245,-110.1042,35.0245,-110.1042,
-110.6974,35.0242,8,AZ008,Winslow Historic District,,Active,Winslow,Navajo,AZ,Historic Route 66 and railroad town,35.0242,-110.6974,35.0242,-110.6974,
-110.6974,35.0242,9,AZ009,La Posada Hotel,,Active,Winslow,Navajo,AZ,Harvey House hotel serving Route 66 travelers,35.0242,-110.6974,35.0242,-110.6974,
-110.0480,35.0035,10,AZ010,Twin Arrows Trading Post,,Active,Twin Arrows,Coconino,AZ,Abandoned Route 66 trading post landmark,35.0035,-110.0480,35.0035,-110.0480,
-111.0920,35.1200,11,AZ011,Two Guns Ghost Town,,Active,Two Guns,Coconino,AZ,Abandoned Route 66 tourist stop,35.1200,-111.0920,35.1200,-111.0920,
-111.0925,35.1210,12,AZ012,Canyon Diablo Bridge,,Active,Two Guns,Coconino,AZ,Early concrete bridge along Route 66,35.1210,-111.0925,35.1210,-111.0925,
-111.3542,35.2317,13,AZ013,Winona Historic Community,,Active,Winona,Coconino,AZ,Historic Route 66 railroad stop,35.2317,-111.3542,35.2317,-111.3542,
-111.6513,35.1983,14,AZ014,Flagstaff Route 66 Historic District,,Active,Flagstaff,Coconino,AZ,Historic alignment through downtown Flagstaff,35.1983,-111.6513,35.1983,-111.6513,
-111.6200,35.2402,15,AZ015,Museum Club,,Active,Flagstaff,Coconino,AZ,Historic Route 66 dance hall and music venue,35.2402,-111.6200,35.2402,-111.6200,
-111.8210,35.2403,16,AZ016,Bellemont Historic Community,,Active,Bellemont,Coconino,AZ,Historic Route 66 railroad settlement,35.2403,-111.8210,35.2403,-111.8210,
-112.4843,35.2240,17,AZ017,Ash Fork Historic District,,Active,Ash Fork,Yavapai,AZ,Stone quarry and Route 66 commerce town,35.2240,-112.4843,35.2240,-112.4843,
-112.1910,35.2494,18,AZ018,Williams Historic Route 66 District,,Active,Williams,Coconino,AZ,Last town bypassed by Interstate 40,35.2494,-112.1910,35.2494,-112.1910,
-112.8790,35.3260,19,AZ019,Delgadillo’s Snow Cap Drive-In,,Active,Seligman,Yavapai,AZ,Famous Route 66 roadside attraction,35.3260,-112.8790,35.3260,-112.8790,
-112.8774,35.3275,20,AZ020,Seligman Historic District,,Active,Seligman,Yavapai,AZ,Birthplace of Route 66 preservation movement,35.3275,-112.8774,35.3275,-112.8774,
-113.4250,35.5290,21,AZ021,Peach Springs,,Active,Hualapai Reservation,Mohave,AZ,Hualapai tribal community along Route 66,35.5290,-113.4250,35.5290,-113.4250,
-113.7266,35.3697,22,AZ022,Hackberry General Store,,Active,Hackberry,Mohave,AZ,Historic Route 66 store and museum,35.3697,-113.7266,35.3697,-113.7266,
-113.7200,35.3700,23,AZ023,Hackberry Route 66 Segment,,Active,Hackberry,Mohave,AZ,Preserved stretch of Route 66 highway,35.3700,-113.7200,35.3700,-113.7200,
-114.0530,35.1894,24,AZ024,Kingman Historic District,,Active,Kingman,Mohave,AZ,Major Route 66 transportation hub,35.1894,-114.0530,35.1894,-114.0530,
-114.0610,35.1890,25,AZ025,Powerhouse Visitor Center,,Active,Kingman,Mohave,AZ,Historic power station and Route 66 museum,35.1890,-114.0610,35.1890,-114.0610,
-113.9020,35.1350,26,AZ026,Ed’s Camp (Route 66 Ruins),,Active,Kingman,Mohave,AZ,Historic roadside ruins along Route 66,35.1350,-113.9020,35.1350,-113.9020,
-113.8520,35.1186,27,AZ027,Cool Springs Station,,Active,Kingman,Mohave,AZ,Restored Route 66 gas station of historical significance,35.1186,-113.8520,35.1186,-113.8520,
-113.8670,35.1030,28,AZ028,Sitgreaves Pass,,Active,Black Mountains,Mohave,AZ,Original winding mountain pass of Route 66,35.1030,-113.8670,35.1030,-113.8670,
-113.8500,35.1200,29,AZ029,Goldroad Mining Area,,Active,Oatman,Mohave,AZ,Historic mining area tied to Route 66,35.1200,-113.8500,35.1200,-113.8500,
-114.3830,35.0264,30,AZ030,Oatman Historic District,,Active,Oatman,Mohave,AZ,Historic mining town incorporated into Route 66,35.0264,-114.3830,35.0264,-114.3830,
-114.4869,34.7233,31,AZ031,Topock Route 66 Bridge,,Active,Topock,Mohave,AZ,Western Arizona exit of Route 66,34.7233,-114.4869,34.7233,-114.4869,
